model,decoding_method,beam_size,problem_id,input_tokens,output_tokens,total_tokens,score,source_file,row_index
Llama,tree,3,3_1000#43,73,301,374,0,LLAMA3/tree/MATH500/3_1000.jsonl,43
Llama,tree,3,3_1000#44,107,1001,1108,0,LLAMA3/tree/MATH500/3_1000.jsonl,44
Llama,tree,3,3_1000#45,97,405,502,0,LLAMA3/tree/MATH500/3_1000.jsonl,45
Llama,tree,3,3_1000#46,69,59,128,1,LLAMA3/tree/MATH500/3_1000.jsonl,46
Llama,tree,3,3_1000#47,77,880,957,0,LLAMA3/tree/MATH500/3_1000.jsonl,47
Llama,tree,3,3_1000#48,84,275,359,1,LLAMA3/tree/MATH500/3_1000.jsonl,48
Llama,tree,3,3_1000#49,52,464,516,1,LLAMA3/tree/MATH500/3_1000.jsonl,49
Llama,tree,3,3_1000#50,58,175,233,1,LLAMA3/tree/MATH500/3_1000.jsonl,50
Llama,tree,3,3_1000#51,129,535,664,0,LLAMA3/tree/MATH500/3_1000.jsonl,51
Llama,tree,3,3_1000#52,55,745,800,1,LLAMA3/tree/MATH500/3_1000.jsonl,52
Llama,tree,3,3_1000#53,63,174,237,1,LLAMA3/tree/MATH500/3_1000.jsonl,53
Llama,tree,3,3_1000#54,60,71,131,1,LLAMA3/tree/MATH500/3_1000.jsonl,54
Llama,tree,3,3_1000#55,45,76,121,0,LLAMA3/tree/MATH500/3_1000.jsonl,55
Llama,tree,3,3_1000#56,83,268,351,0,LLAMA3/tree/MATH500/3_1000.jsonl,56
Llama,tree,3,3_1000#57,57,118,175,0,LLAMA3/tree/MATH500/3_1000.jsonl,57
Llama,tree,3,3_1000#58,87,548,635,0,LLAMA3/tree/MATH500/3_1000.jsonl,58
Llama,tree,3,3_1000#59,47,205,252,0,LLAMA3/tree/MATH500/3_1000.jsonl,59
Llama,tree,3,3_1000#60,79,294,373,0,LLAMA3/tree/MATH500/3_1000.jsonl,60
Llama,tree,3,3_1000#61,83,1001,1084,0,LLAMA3/tree/MATH500/3_1000.jsonl,61
Llama,tree,3,3_1000#62,102,212,314,1,LLAMA3/tree/MATH500/3_1000.jsonl,62
Llama,tree,3,3_1000#63,139,675,814,0,LLAMA3/tree/MATH500/3_1000.jsonl,63
Llama,tree,3,3_1000#64,122,460,582,0,LLAMA3/tree/MATH500/3_1000.jsonl,64
Llama,tree,3,3_1000#65,99,635,734,0,LLAMA3/tree/MATH500/3_1000.jsonl,65
Llama,tree,3,3_1000#66,47,159,206,1,LLAMA3/tree/MATH500/3_1000.jsonl,66
Llama,tree,3,3_1000#67,71,346,417,0,LLAMA3/tree/MATH500/3_1000.jsonl,67
Llama,tree,3,3_1000#68,81,227,308,0,LLAMA3/tree/MATH500/3_1000.jsonl,68
Llama,tree,3,3_1000#69,94,1001,1095,0,LLAMA3/tree/MATH500/3_1000.jsonl,69
Llama,tree,3,3_1000#70,89,903,992,0,LLAMA3/tree/MATH500/3_1000.jsonl,70
Llama,tree,3,3_1000#71,53,303,356,1,LLAMA3/tree/MATH500/3_1000.jsonl,71
Llama,tree,3,3_1000#72,53,158,211,0,LLAMA3/tree/MATH500/3_1000.jsonl,72
Llama,tree,3,3_1000#73,67,226,293,1,LLAMA3/tree/MATH500/3_1000.jsonl,73
Llama,tree,3,3_1000#74,104,325,429,1,LLAMA3/tree/MATH500/3_1000.jsonl,74
Llama,tree,3,3_1000#75,60,422,482,0,LLAMA3/tree/MATH500/3_1000.jsonl,75
Llama,tree,3,3_1000#76,71,456,527,0,LLAMA3/tree/MATH500/3_1000.jsonl,76
Llama,tree,3,3_1000#77,73,113,186,1,LLAMA3/tree/MATH500/3_1000.jsonl,77
Llama,tree,3,3_1000#78,52,90,142,1,LLAMA3/tree/MATH500/3_1000.jsonl,78
Llama,tree,3,3_1000#79,102,1001,1103,0,LLAMA3/tree/MATH500/3_1000.jsonl,79
Llama,tree,3,3_1000#80,54,63,117,1,LLAMA3/tree/MATH500/3_1000.jsonl,80
Llama,tree,3,3_1000#81,75,1001,1076,0,LLAMA3/tree/MATH500/3_1000.jsonl,81
Llama,tree,3,3_1000#82,82,293,375,0,LLAMA3/tree/MATH500/3_1000.jsonl,82
Llama,tree,3,3_1000#83,120,609,729,1,LLAMA3/tree/MATH500/3_1000.jsonl,83
Llama,tree,3,3_1000#84,55,790,845,0,LLAMA3/tree/MATH500/3_1000.jsonl,84
Llama,tree,3,3_1000#85,86,484,570,1,LLAMA3/tree/MATH500/3_1000.jsonl,85
Llama,tree,3,3_1000#86,93,273,366,1,LLAMA3/tree/MATH500/3_1000.jsonl,86
Llama,tree,3,3_1000#87,71,101,172,0,LLAMA3/tree/MATH500/3_1000.jsonl,87
Llama,tree,3,3_1000#88,57,144,201,0,LLAMA3/tree/MATH500/3_1000.jsonl,88
Llama,tree,3,3_1000#89,120,506,626,1,LLAMA3/tree/MATH500/3_1000.jsonl,89
Llama,tree,3,3_1000#90,53,210,263,0,LLAMA3/tree/MATH500/3_1000.jsonl,90
Llama,tree,3,3_1000#91,74,88,162,0,LLAMA3/tree/MATH500/3_1000.jsonl,91
Llama,tree,3,3_1000#92,76,263,339,0,LLAMA3/tree/MATH500/3_1000.jsonl,92
Llama,tree,3,3_1000#93,73,285,358,1,LLAMA3/tree/MATH500/3_1000.jsonl,93
Llama,tree,3,3_1000#94,75,458,533,1,LLAMA3/tree/MATH500/3_1000.jsonl,94
Llama,tree,3,3_1000#95,375,646,1021,0,LLAMA3/tree/MATH500/3_1000.jsonl,95
Llama,tree,3,3_1000#96,113,439,552,0,LLAMA3/tree/MATH500/3_1000.jsonl,96
Llama,tree,3,3_1000#97,137,1001,1138,0,LLAMA3/tree/MATH500/3_1000.jsonl,97
Llama,tree,3,3_1000#98,76,212,288,0,LLAMA3/tree/MATH500/3_1000.jsonl,98
Llama,tree,3,3_1000#99,51,110,161,0,LLAMA3/tree/MATH500/3_1000.jsonl,99
Llama,tree,3,3_1000#100,130,616,746,0,LLAMA3/tree/MATH500/3_1000.jsonl,100
Llama,tree,9,9_1000#1,81,289,370,0,LLAMA3/tree/MATH500/9_1000.jsonl,1
Llama,tree,9,9_1000#2,144,1001,1145,0,LLAMA3/tree/MATH500/9_1000.jsonl,2
Llama,tree,9,9_1000#3,80,403,483,1,LLAMA3/tree/MATH500/9_1000.jsonl,3
Llama,tree,9,9_1000#4,45,138,183,0,LLAMA3/tree/MATH500/9_1000.jsonl,4
Llama,tree,9,9_1000#5,360,331,691,0,LLAMA3/tree/MATH500/9_1000.jsonl,5
Llama,tree,9,9_1000#6,73,127,200,0,LLAMA3/tree/MATH500/9_1000.jsonl,6
Llama,tree,9,9_1000#7,52,761,813,0,LLAMA3/tree/MATH500/9_1000.jsonl,7
Llama,tree,9,9_1000#8,99,1001,1100,0,LLAMA3/tree/MATH500/9_1000.jsonl,8
Llama,tree,9,9_1000#9,67,260,327,1,LLAMA3/tree/MATH500/9_1000.jsonl,9
Llama,tree,9,9_1000#10,174,688,862,0,LLAMA3/tree/MATH500/9_1000.jsonl,10
Llama,tree,9,9_1000#11,57,209,266,0,LLAMA3/tree/MATH500/9_1000.jsonl,11
Llama,tree,9,9_1000#12,92,1001,1093,0,LLAMA3/tree/MATH500/9_1000.jsonl,12
Llama,tree,9,9_1000#13,101,239,340,1,LLAMA3/tree/MATH500/9_1000.jsonl,13
Llama,tree,9,9_1000#14,204,176,380,1,LLAMA3/tree/MATH500/9_1000.jsonl,14
Llama,tree,9,9_1000#15,144,309,453,0,LLAMA3/tree/MATH500/9_1000.jsonl,15
Llama,tree,9,9_1000#16,211,972,1183,1,LLAMA3/tree/MATH500/9_1000.jsonl,16
Llama,tree,9,9_1000#17,54,356,410,1,LLAMA3/tree/MATH500/9_1000.jsonl,17
Llama,tree,9,9_1000#18,240,562,802,0,LLAMA3/tree/MATH500/9_1000.jsonl,18
Llama,tree,9,9_1000#19,179,1001,1180,0,LLAMA3/tree/MATH500/9_1000.jsonl,19
Llama,tree,9,9_1000#20,81,480,561,1,LLAMA3/tree/MATH500/9_1000.jsonl,20
Llama,tree,9,9_1000#21,46,114,160,0,LLAMA3/tree/MATH500/9_1000.jsonl,21
Llama,tree,9,9_1000#22,62,1001,1063,0,LLAMA3/tree/MATH500/9_1000.jsonl,22
Llama,tree,9,9_1000#23,158,550,708,1,LLAMA3/tree/MATH500/9_1000.jsonl,23
Llama,tree,9,9_1000#24,61,604,665,0,LLAMA3/tree/MATH500/9_1000.jsonl,24
Llama,tree,9,9_1000#25,130,425,555,1,LLAMA3/tree/MATH500/9_1000.jsonl,25
Llama,tree,9,9_1000#26,112,1001,1113,0,LLAMA3/tree/MATH500/9_1000.jsonl,26
Llama,tree,9,9_1000#27,85,379,464,0,LLAMA3/tree/MATH500/9_1000.jsonl,27
Llama,tree,9,9_1000#28,110,238,348,0,LLAMA3/tree/MATH500/9_1000.jsonl,28
Llama,tree,9,9_1000#29,67,187,254,1,LLAMA3/tree/MATH500/9_1000.jsonl,29
Llama,tree,9,9_1000#30,110,250,360,0,LLAMA3/tree/MATH500/9_1000.jsonl,30
Llama,tree,9,9_1000#31,57,390,447,0,LLAMA3/tree/MATH500/9_1000.jsonl,31
Llama,tree,9,9_1000#32,41,157,198,0,LLAMA3/tree/MATH500/9_1000.jsonl,32
Llama,tree,9,9_1000#33,84,211,295,1,LLAMA3/tree/MATH500/9_1000.jsonl,33
Llama,tree,9,9_1000#34,78,490,568,1,LLAMA3/tree/MATH500/9_1000.jsonl,34
Llama,tree,9,9_1000#35,66,652,718,0,LLAMA3/tree/MATH500/9_1000.jsonl,35
Llama,tree,9,9_1000#36,74,162,236,1,LLAMA3/tree/MATH500/9_1000.jsonl,36
Llama,tree,9,9_1000#37,62,726,788,0,LLAMA3/tree/MATH500/9_1000.jsonl,37
Llama,tree,9,9_1000#38,67,245,312,0,LLAMA3/tree/MATH500/9_1000.jsonl,38
Llama,tree,9,9_1000#39,74,176,250,0,LLAMA3/tree/MATH500/9_1000.jsonl,39
Llama,tree,9,9_1000#40,55,302,357,0,LLAMA3/tree/MATH500/9_1000.jsonl,40
Llama,tree,9,9_1000#41,130,190,320,1,LLAMA3/tree/MATH500/9_1000.jsonl,41
Llama,tree,9,9_1000#42,83,318,401,0,LLAMA3/tree/MATH500/9_1000.jsonl,42
Llama,tree,9,9_1000#43,73,302,375,0,LLAMA3/tree/MATH500/9_1000.jsonl,43
Llama,tree,9,9_1000#44,107,1001,1108,0,LLAMA3/tree/MATH500/9_1000.jsonl,44
Llama,tree,9,9_1000#45,97,408,505,1,LLAMA3/tree/MATH500/9_1000.jsonl,45
Llama,tree,9,9_1000#46,69,501,570,1,LLAMA3/tree/MATH500/9_1000.jsonl,46
Llama,tree,9,9_1000#47,77,474,551,0,LLAMA3/tree/MATH500/9_1000.jsonl,47
Llama,tree,9,9_1000#48,84,274,358,1,LLAMA3/tree/MATH500/9_1000.jsonl,48
Llama,tree,9,9_1000#49,52,350,402,1,LLAMA3/tree/MATH500/9_1000.jsonl,49
Llama,tree,9,9_1000#50,58,181,239,1,LLAMA3/tree/MATH500/9_1000.jsonl,50
Llama,tree,9,9_1000#51,129,488,617,0,LLAMA3/tree/MATH500/9_1000.jsonl,51
Llama,tree,9,9_1000#52,55,829,884,1,LLAMA3/tree/MATH500/9_1000.jsonl,52
Llama,tree,9,9_1000#53,63,127,190,1,LLAMA3/tree/MATH500/9_1000.jsonl,53
Llama,tree,9,9_1000#54,60,75,135,1,LLAMA3/tree/MATH500/9_1000.jsonl,54
Llama,tree,9,9_1000#55,45,76,121,0,LLAMA3/tree/MATH500/9_1000.jsonl,55
Llama,tree,9,9_1000#56,83,257,340,0,LLAMA3/tree/MATH500/9_1000.jsonl,56
Llama,tree,9,9_1000#57,57,126,183,1,LLAMA3/tree/MATH500/9_1000.jsonl,57
Llama,tree,9,9_1000#58,87,548,635,0,LLAMA3/tree/MATH500/9_1000.jsonl,58
Llama,tree,9,9_1000#59,47,148,195,0,LLAMA3/tree/MATH500/9_1000.jsonl,59
Llama,tree,9,9_1000#60,79,385,464,0,LLAMA3/tree/MATH500/9_1000.jsonl,60
Llama,tree,9,9_1000#61,83,1001,1084,0,LLAMA3/tree/MATH500/9_1000.jsonl,61
Llama,tree,9,9_1000#62,102,601,703,1,LLAMA3/tree/MATH500/9_1000.jsonl,62
Llama,tree,9,9_1000#63,139,1001,1140,0,LLAMA3/tree/MATH500/9_1000.jsonl,63
Llama,tree,9,9_1000#64,122,820,942,1,LLAMA3/tree/MATH500/9_1000.jsonl,64
Llama,tree,9,9_1000#65,99,1001,1100,0,LLAMA3/tree/MATH500/9_1000.jsonl,65
Llama,tree,9,9_1000#66,47,131,178,1,LLAMA3/tree/MATH500/9_1000.jsonl,66
Llama,tree,9,9_1000#67,71,160,231,1,LLAMA3/tree/MATH500/9_1000.jsonl,67
Llama,tree,9,9_1000#68,81,227,308,0,LLAMA3/tree/MATH500/9_1000.jsonl,68
Llama,tree,9,9_1000#69,94,1001,1095,0,LLAMA3/tree/MATH500/9_1000.jsonl,69
Llama,tree,9,9_1000#70,89,1001,1090,0,LLAMA3/tree/MATH500/9_1000.jsonl,70
Llama,tree,9,9_1000#71,53,303,356,1,LLAMA3/tree/MATH500/9_1000.jsonl,71
Llama,tree,9,9_1000#72,53,156,209,0,LLAMA3/tree/MATH500/9_1000.jsonl,72
Llama,tree,9,9_1000#73,67,226,293,1,LLAMA3/tree/MATH500/9_1000.jsonl,73
Llama,tree,9,9_1000#74,104,319,423,1,LLAMA3/tree/MATH500/9_1000.jsonl,74
Llama,tree,9,9_1000#75,60,204,264,0,LLAMA3/tree/MATH500/9_1000.jsonl,75
Llama,tree,9,9_1000#76,71,480,551,1,LLAMA3/tree/MATH500/9_1000.jsonl,76
Llama,tree,9,9_1000#77,73,171,244,1,LLAMA3/tree/MATH500/9_1000.jsonl,77
Llama,tree,9,9_1000#78,52,128,180,1,LLAMA3/tree/MATH500/9_1000.jsonl,78
Llama,tree,9,9_1000#79,102,975,1077,0,LLAMA3/tree/MATH500/9_1000.jsonl,79
Llama,tree,9,9_1000#80,54,65,119,1,LLAMA3/tree/MATH500/9_1000.jsonl,80
Llama,tree,9,9_1000#81,75,621,696,0,LLAMA3/tree/MATH500/9_1000.jsonl,81
Llama,tree,9,9_1000#82,82,186,268,0,LLAMA3/tree/MATH500/9_1000.jsonl,82
Llama,tree,9,9_1000#83,120,377,497,0,LLAMA3/tree/MATH500/9_1000.jsonl,83
Llama,tree,9,9_1000#84,55,911,966,0,LLAMA3/tree/MATH500/9_1000.jsonl,84
Llama,tree,9,9_1000#85,86,634,720,1,LLAMA3/tree/MATH500/9_1000.jsonl,85
Llama,tree,9,9_1000#86,93,255,348,1,LLAMA3/tree/MATH500/9_1000.jsonl,86
Llama,tree,9,9_1000#87,71,101,172,0,LLAMA3/tree/MATH500/9_1000.jsonl,87
Llama,tree,9,9_1000#88,57,291,348,1,LLAMA3/tree/MATH500/9_1000.jsonl,88
Llama,tree,9,9_1000#89,120,1001,1121,0,LLAMA3/tree/MATH500/9_1000.jsonl,89
Llama,tree,9,9_1000#90,53,378,431,0,LLAMA3/tree/MATH500/9_1000.jsonl,90
Llama,tree,9,9_1000#91,74,134,208,0,LLAMA3/tree/MATH500/9_1000.jsonl,91
Llama,tree,9,9_1000#92,76,429,505,0,LLAMA3/tree/MATH500/9_1000.jsonl,92
Llama,tree,9,9_1000#93,73,464,537,0,LLAMA3/tree/MATH500/9_1000.jsonl,93
Llama,tree,9,9_1000#94,75,455,530,1,LLAMA3/tree/MATH500/9_1000.jsonl,94
Llama,tree,9,9_1000#95,375,166,541,0,LLAMA3/tree/MATH500/9_1000.jsonl,95
Llama,tree,9,9_1000#96,113,1001,1114,0,LLAMA3/tree/MATH500/9_1000.jsonl,96
Llama,tree,9,9_1000#97,137,1001,1138,0,LLAMA3/tree/MATH500/9_1000.jsonl,97
Llama,tree,9,9_1000#98,76,208,284,0,LLAMA3/tree/MATH500/9_1000.jsonl,98
Llama,tree,9,9_1000#99,51,161,212,0,LLAMA3/tree/MATH500/9_1000.jsonl,99
Llama,tree,9,9_1000#100,130,1001,1131,0,LLAMA3/tree/MATH500/9_1000.jsonl,100
Llama,sampling,,sample#1,81,238,319,0,LLAMA3/sample/MATH500/sample.jsonl,1
Llama,sampling,,sample#2,144,612,756,0,LLAMA3/sample/MATH500/sample.jsonl,2
Llama,sampling,,sample#3,80,232,312,1,LLAMA3/sample/MATH500/sample.jsonl,3
Llama,sampling,,sample#4,45,191,236,0,LLAMA3/sample/MATH500/sample.jsonl,4
Llama,sampling,,sample#5,360,79,439,0,LLAMA3/sample/MATH500/sample.jsonl,5
Llama,sampling,,sample#6,73,137,210,0,LLAMA3/sample/MATH500/sample.jsonl,6
Llama,sampling,,sample#7,52,411,463,1,LLAMA3/sample/MATH500/sample.jsonl,7
Llama,sampling,,sample#8,99,832,931,0,LLAMA3/sample/MATH500/sample.jsonl,8
Llama,sampling,,sample#9,67,191,258,0,LLAMA3/sample/MATH500/sample.jsonl,9
Llama,sampling,,sample#10,174,320,494,0,LLAMA3/sample/MATH500/sample.jsonl,10
Llama,sampling,,sample#11,57,1000,1057,0,LLAMA3/sample/MATH500/sample.jsonl,11
Llama,sampling,,sample#12,92,552,644,0,LLAMA3/sample/MATH500/sample.jsonl,12
Llama,sampling,,sample#13,101,135,236,0,LLAMA3/sample/MATH500/sample.jsonl,13
Llama,sampling,,sample#14,204,189,393,1,LLAMA3/sample/MATH500/sample.jsonl,14
Llama,sampling,,sample#15,144,115,259,0,LLAMA3/sample/MATH500/sample.jsonl,15
Llama,sampling,,sample#16,211,919,1130,0,LLAMA3/sample/MATH500/sample.jsonl,16
Llama,sampling,,sample#17,54,98,152,0,LLAMA3/sample/MATH500/sample.jsonl,17
Llama,sampling,,sample#18,240,319,559,0,LLAMA3/sample/MATH500/sample.jsonl,18
Llama,sampling,,sample#19,179,280,459,0,LLAMA3/sample/MATH500/sample.jsonl,19
Llama,sampling,,sample#20,81,634,715,0,LLAMA3/sample/MATH500/sample.jsonl,20
Llama,sampling,,sample#21,46,134,180,1,LLAMA3/sample/MATH500/sample.jsonl,21
Llama,sampling,,sample#22,62,852,914,0,LLAMA3/sample/MATH500/sample.jsonl,22
Llama,sampling,,sample#23,158,1000,1158,0,LLAMA3/sample/MATH500/sample.jsonl,23
Llama,sampling,,sample#24,61,586,647,0,LLAMA3/sample/MATH500/sample.jsonl,24
Llama,sampling,,sample#25,130,245,375,0,LLAMA3/sample/MATH500/sample.jsonl,25
Llama,sampling,,sample#26,112,557,669,0,LLAMA3/sample/MATH500/sample.jsonl,26
Llama,sampling,,sample#27,85,281,366,0,LLAMA3/sample/MATH500/sample.jsonl,27
Llama,sampling,,sample#28,110,203,313,0,LLAMA3/sample/MATH500/sample.jsonl,28
Llama,sampling,,sample#29,67,149,216,0,LLAMA3/sample/MATH500/sample.jsonl,29
Llama,sampling,,sample#30,110,327,437,0,LLAMA3/sample/MATH500/sample.jsonl,30
Llama,sampling,,sample#31,57,240,297,1,LLAMA3/sample/MATH500/sample.jsonl,31
Llama,sampling,,sample#32,41,208,249,0,LLAMA3/sample/MATH500/sample.jsonl,32
Llama,sampling,,sample#33,84,237,321,0,LLAMA3/sample/MATH500/sample.jsonl,33
Llama,sampling,,sample#34,78,549,627,0,LLAMA3/sample/MATH500/sample.jsonl,34
Llama,sampling,,sample#35,66,470,536,0,LLAMA3/sample/MATH500/sample.jsonl,35
Llama,sampling,,sample#36,74,329,403,0,LLAMA3/sample/MATH500/sample.jsonl,36
Llama,sampling,,sample#37,62,963,1025,0,LLAMA3/sample/MATH500/sample.jsonl,37
Llama,sampling,,sample#38,67,258,325,0,LLAMA3/sample/MATH500/sample.jsonl,38
Llama,sampling,,sample#39,74,203,277,1,LLAMA3/sample/MATH500/sample.jsonl,39
Llama,sampling,,sample#40,55,221,276,0,LLAMA3/sample/MATH500/sample.jsonl,40
Llama,sampling,,sample#41,130,95,225,0,LLAMA3/sample/MATH500/sample.jsonl,41
Llama,sampling,,sample#42,83,452,535,0,LLAMA3/sample/MATH500/sample.jsonl,42
Llama,sampling,,sample#43,73,123,196,0,LLAMA3/sample/MATH500/sample.jsonl,43
Llama,sampling,,sample#44,107,701,808,0,LLAMA3/sample/MATH500/sample.jsonl,44
Llama,sampling,,sample#45,97,372,469,1,LLAMA3/sample/MATH500/sample.jsonl,45
Llama,sampling,,sample#46,69,77,146,1,LLAMA3/sample/MATH500/sample.jsonl,46
Llama,sampling,,sample#47,77,441,518,0,LLAMA3/sample/MATH500/sample.jsonl,47
Llama,sampling,,sample#48,84,383,467,1,LLAMA3/sample/MATH500/sample.jsonl,48
Llama,sampling,,sample#49,52,150,202,0,LLAMA3/sample/MATH500/sample.jsonl,49
Llama,sampling,,sample#50,58,113,171,0,LLAMA3/sample/MATH500/sample.jsonl,50
Llama,sampling,,sample#51,129,379,508,0,LLAMA3/sample/MATH500/sample.jsonl,51
Llama,sampling,,sample#52,55,245,300,0,LLAMA3/sample/MATH500/sample.jsonl,52
Llama,sampling,,sample#53,63,219,282,0,LLAMA3/sample/MATH500/sample.jsonl,53
Llama,sampling,,sample#54,60,101,161,0,LLAMA3/sample/MATH500/sample.jsonl,54
Llama,sampling,,sample#55,45,79,124,1,LLAMA3/sample/MATH500/sample.jsonl,55
Llama,sampling,,sample#56,83,109,192,1,LLAMA3/sample/MATH500/sample.jsonl,56
Llama,sampling,,sample#57,57,201,258,1,LLAMA3/sample/MATH500/sample.jsonl,57
Llama,sampling,,sample#58,87,650,737,1,LLAMA3/sample/MATH500/sample.jsonl,58
Llama,sampling,,sample#59,47,681,728,0,LLAMA3/sample/MATH500/sample.jsonl,59
Llama,sampling,,sample#60,79,217,296,0,LLAMA3/sample/MATH500/sample.jsonl,60
Llama,sampling,,sample#61,83,1000,1083,0,LLAMA3/sample/MATH500/sample.jsonl,61
Llama,sampling,,sample#62,102,391,493,0,LLAMA3/sample/MATH500/sample.jsonl,62
Llama,sampling,,sample#63,139,795,934,0,LLAMA3/sample/MATH500/sample.jsonl,63
Llama,sampling,,sample#64,122,472,594,0,LLAMA3/sample/MATH500/sample.jsonl,64
Llama,sampling,,sample#65,99,1000,1099,0,LLAMA3/sample/MATH500/sample.jsonl,65
Llama,sampling,,sample#66,47,179,226,1,LLAMA3/sample/MATH500/sample.jsonl,66
Llama,sampling,,sample#67,71,264,335,1,LLAMA3/sample/MATH500/sample.jsonl,67
Llama,sampling,,sample#68,81,296,377,0,LLAMA3/sample/MATH500/sample.jsonl,68
Llama,sampling,,sample#69,94,1000,1094,0,LLAMA3/sample/MATH500/sample.jsonl,69
Llama,sampling,,sample#70,89,784,873,0,LLAMA3/sample/MATH500/sample.jsonl,70
Llama,sampling,,sample#71,53,118,171,1,LLAMA3/sample/MATH500/sample.jsonl,71
Llama,sampling,,sample#72,53,375,428,0,LLAMA3/sample/MATH500/sample.jsonl,72
Llama,sampling,,sample#73,67,391,458,0,LLAMA3/sample/MATH500/sample.jsonl,73
Llama,sampling,,sample#74,104,170,274,0,LLAMA3/sample/MATH500/sample.jsonl,74
Llama,sampling,,sample#75,60,438,498,0,LLAMA3/sample/MATH500/sample.jsonl,75
Llama,sampling,,sample#76,71,311,382,0,LLAMA3/sample/MATH500/sample.jsonl,76
Llama,sampling,,sample#77,73,92,165,1,LLAMA3/sample/MATH500/sample.jsonl,77
Llama,sampling,,sample#78,52,264,316,1,LLAMA3/sample/MATH500/sample.jsonl,78
Llama,sampling,,sample#79,102,633,735,0,LLAMA3/sample/MATH500/sample.jsonl,79
Llama,sampling,,sample#80,54,91,145,1,LLAMA3/sample/MATH500/sample.jsonl,80
Llama,sampling,,sample#81,75,302,377,0,LLAMA3/sample/MATH500/sample.jsonl,81
Llama,sampling,,sample#82,82,249,331,0,LLAMA3/sample/MATH500/sample.jsonl,82
Llama,sampling,,sample#83,120,1000,1120,0,LLAMA3/sample/MATH500/sample.jsonl,83
Llama,sampling,,sample#84,55,258,313,0,LLAMA3/sample/MATH500/sample.jsonl,84
Llama,sampling,,sample#85,86,537,623,0,LLAMA3/sample/MATH500/sample.jsonl,85
Llama,sampling,,sample#86,93,329,422,0,LLAMA3/sample/MATH500/sample.jsonl,86
Llama,sampling,,sample#87,71,123,194,0,LLAMA3/sample/MATH500/sample.jsonl,87
Llama,sampling,,sample#88,57,271,328,1,LLAMA3/sample/MATH500/sample.jsonl,88
Llama,sampling,,sample#89,120,1000,1120,1,LLAMA3/sample/MATH500/sample.jsonl,89
Llama,sampling,,sample#90,53,228,281,0,LLAMA3/sample/MATH500/sample.jsonl,90
Llama,sampling,,sample#91,74,120,194,0,LLAMA3/sample/MATH500/sample.jsonl,91
Llama,sampling,,sample#92,76,226,302,0,LLAMA3/sample/MATH500/sample.jsonl,92
Llama,sampling,,sample#93,73,154,227,0,LLAMA3/sample/MATH500/sample.jsonl,93
Llama,sampling,,sample#94,75,177,252,1,LLAMA3/sample/MATH500/sample.jsonl,94
Llama,sampling,,sample#95,375,877,1252,0,LLAMA3/sample/MATH500/sample.jsonl,95
Llama,sampling,,sample#96,113,419,532,0,LLAMA3/sample/MATH500/sample.jsonl,96
Llama,sampling,,sample#97,137,585,722,0,LLAMA3/sample/MATH500/sample.jsonl,97
Llama,sampling,,sample#98,76,161,237,0,LLAMA3/sample/MATH500/sample.jsonl,98
Llama,sampling,,sample#99,51,316,367,1,LLAMA3/sample/MATH500/sample.jsonl,99
Llama,sampling,,sample#100,130,688,818,0,LLAMA3/sample/MATH500/sample.jsonl,100
Mistral,origin,1,1_1000#1,76,201,277,1,MISTRAL/origin/MATH500/1_1000.jsonl,1
Mistral,origin,1,1_1000#2,124,621,745,1,MISTRAL/origin/MATH500/1_1000.jsonl,2
Mistral,origin,1,1_1000#3,74,358,432,1,MISTRAL/origin/MATH500/1_1000.jsonl,3
Mistral,origin,1,1_1000#4,42,327,369,1,MISTRAL/origin/MATH500/1_1000.jsonl,4
Mistral,origin,1,1_1000#5,378,405,783,1,MISTRAL/origin/MATH500/1_1000.jsonl,5
Mistral,origin,1,1_1000#6,69,233,302,1,MISTRAL/origin/MATH500/1_1000.jsonl,6
Mistral,origin,1,1_1000#7,47,341,388,1,MISTRAL/origin/MATH500/1_1000.jsonl,7
Mistral,origin,1,1_1000#8,92,1000,1092,0,MISTRAL/origin/MATH500/1_1000.jsonl,8
Mistral,origin,1,1_1000#9,62,286,348,1,MISTRAL/origin/MATH500/1_1000.jsonl,9
Mistral,origin,1,1_1000#10,170,1000,1170,0,MISTRAL/origin/MATH500/1_1000.jsonl,10
Mistral,origin,1,1_1000#11,53,340,393,1,MISTRAL/origin/MATH500/1_1000.jsonl,11
Mistral,origin,1,1_1000#12,86,350,436,0,MISTRAL/origin/MATH500/1_1000.jsonl,12
Mistral,origin,1,1_1000#13,99,401,500,1,MISTRAL/origin/MATH500/1_1000.jsonl,13
Mistral,origin,1,1_1000#14,206,190,396,1,MISTRAL/origin/MATH500/1_1000.jsonl,14
Mistral,origin,1,1_1000#15,147,152,299,0,MISTRAL/origin/MATH500/1_1000.jsonl,15
Mistral,origin,1,1_1000#16,211,516,727,0,MISTRAL/origin/MATH500/1_1000.jsonl,16
Mistral,origin,1,1_1000#17,51,256,307,1,MISTRAL/origin/MATH500/1_1000.jsonl,17
Mistral,origin,1,1_1000#18,252,495,747,0,MISTRAL/origin/MATH500/1_1000.jsonl,18
Mistral,origin,1,1_1000#19,180,685,865,1,MISTRAL/origin/MATH500/1_1000.jsonl,19
Mistral,origin,1,1_1000#20,74,956,1030,0,MISTRAL/origin/MATH500/1_1000.jsonl,20
Mistral,origin,1,1_1000#21,41,133,174,1,MISTRAL/origin/MATH500/1_1000.jsonl,21
